Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MM_self_title.started,[1.485105144791305],429.0994011899456,"['1', '1', '1', '1', '1']","[80.64683778304607, 144.76134505099617, 212.07748790993355, 261.59484253800474, 294.75995147111826]",430.6035910260398,-1,-1,-1.0,-1,-1,-1.0
7,MM_other_title.started,[1.4830113970674574],773.7493467479944,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[31.634996622800827, 40.15141284279525, 55.65183306578547, 67.51771411579102, 82.7340886539314, 155.81632086797617, 188.56695315078832, 221.3993877649773, 234.54961873800494]",775.6774123159703,-1,-1,-1.0
9,MC_other_title.started,[1.485586206894368],1121.9944224229548,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.585027668159455, 39.4017870251555, 63.86773389298469, 82.16711792303249, 98.85030188411474, 121.26570675312541, 142.08273145603016, 163.21728779003024, 185.88336361711845, 210.03215550002642, 229.96577309910208, 255.1147944740951, 273.51464589801617, 295.1648486240301]",1123.7395261570346,-1,-1,-1.0
11,MC_self_title.started,[1.4845116678625345],1464.7732311729342,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[18.284917932003736, 37.75188159593381, 54.76863846904598, 71.10554388794117, 88.26684808405116, 104.53801056393422, 121.73743412201293, 137.73256899998523, 155.51657137600705, 172.63636331888847, 189.77115262998268, 206.531989447074, 222.51446705590934, 237.1360057508573, 254.89773487485945, 273.36868834192865, 292.08140301704407]",1466.268744964851,-1,-1,-1.0,-1,-1,-1.0
14,MM_other_title.started,[1.4898785860277712],1811.3133675628344,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1']","[81.31570764398202, 111.0321678579785, 129.29775435198098, 153.58066169102676, 234.47979650390334, 269.7968732700683, 299.1624972638674]",1813.0491933459416
16,MC_self_title.started,[1.4832797939889133],2158.242412746884,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[20.317943720147014, 36.63373814802617, 52.93631875398569, 71.46266931202263, 88.04702423908748, 105.6956517349463, 121.52819920796901, 141.96038472116925, 157.59564253408462, 174.38292950810865, 191.99859034013934, 208.06632654811256, 228.52804303215817, 241.04382962197997, 258.5784525021445, 275.3267580070533, 291.8936360180378, 307.0774179410655]",2159.746685059042,-1,-1,-1.0,-1,-1,-1.0
18,MM_self_title.started,[1.488830333109945],2505.787699908949,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[39.55590808414854, 69.98870427301154, 86.31660129898228, 103.36872282112017, 134.38441338809207, 148.79966330807656, 170.8836789240595, 188.14903079415672, 205.13159560319036, 222.53226363519207, 238.3650746040512, 258.01580671197735, 272.16493009217083, 284.5650980270002, 300.5809248650912]",2507.287769069895,-1,-1,-1.0,-1,-1,-1.0
20,MC_other_title.started,[1.4853725139982998],2848.383718316909,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1']","[110.80011564702727, 137.06702747405507, 154.28256786591373, 235.14916037302464, 269.53139675501734, 279.09872034494765, 299.7650944220368]",2850.1332346210256
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
