Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MC_self_title.started,[1.4846165389753878],410.35073037305847,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.784441934432834, 34.11730718705803, 50.56644554808736, 66.1675933310762, 80.71661989018321, 96.69019743613899, 114.3186305873096, 130.50173419201747, 148.68341111205518, 165.3721663071774, 181.41684323223308, 198.58132996736094, 214.01630461635068, 229.3979190234095, 244.20418661925942, 258.95503236120567, 274.2376699661836, 292.12012048298493, 307.14511177828535]",411.8509708833881,-1,-1,-1.0,-1,-1,-1.0
7,MM_self_title.started,[1.491376700811088],766.2785580321215,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[73.73679876700044, 101.85350340977311, 121.06781935691833, 131.05323916487396, 147.63607906596735, 160.2574241948314, 173.57439251197502, 197.0001931861043, 210.93518650718033, 221.93342112377286, 238.44856377877295, 246.47291482286528, 298.79815750801936]",767.7780065070838,-1,-1,-1.0,-1,-1,-1.0
9,MC_other_title.started,[1.4789865082129836],1119.7306247833185,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.917779576033354, 46.67016268800944, 71.90305017028004, 94.15095530217513, 112.99951396835968, 134.15254333801568, 162.11884972127154, 184.36768621206284, 206.6988453892991, 226.71633810922503, 250.5502104293555, 272.832583935, 294.20047799590975]",1121.674412499182,-1,-1,-1.0
11,MM_other_title.started,[1.4770108009688556],1460.5927212079987,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[49.21038436796516, 110.64335412858054, 152.50989064294845, 189.54490188881755, 222.21100826980546, 234.89196310797706, 270.4270403487608, 273.4940312849358, 277.8407406206243]",1462.3427192633972,-1,-1,-1.0
14,MM_self_title.started,[1.483075425028801],1812.7831290890465,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[47.99928562482819, 76.57239324599504, 92.56394412182271, 124.39940137369558, 149.25408059963956, 175.01487288065255, 187.68404993787408, 209.69953399896622, 226.39901756169274, 247.6820794600062]",1814.2833493831567,-1,-1,-1.0,-1,-1,-1.0
16,MC_self_title.started,[1.483155446127057],2145.979344810359,"['1', '1', '1', '1', '1', '1', '1', '1']","[17.633472559973598, 98.67039690492675, 113.68912935769185, 135.1335368528962, 260.1359703759663, 277.02979595400393, 292.21121825510636, 306.9959749719128]",2147.479014523328,-1,-1,-1.0,-1,-1,-1.0
18,MM_other_title.started,[1.4688486838713288],2492.024013224989,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1']","[39.80088327312842, 82.85024559078738, 112.8149090227671, 155.61652829311788, 188.5997046912089, 221.43477648077533, 307.21489847498015]",2493.739213647321
20,MC_other_title.started,[1.4832202442921698],2836.936363076325,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.735601578839123, 20.91756827989593, 35.13712262082845, 58.08656034106389, 78.40016713691875, 100.11976736783981, 122.38365726592019, 149.29922196874395, 181.63432350289077, 205.06508122803643, 221.93074336694553, 263.2474200008437, 282.7981397160329, 303.01432754984125]",2838.6847970820963
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
