Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MM_self_title.started,[1.4845750480890274],394.34853423712775,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[16.919035469181836, 28.88981742830947, 50.906018855050206, 60.08847022522241, 78.77300571324304, 97.28309172438458, 113.33902194118127, 151.33242740202695, 172.77114533632994, 192.95488461712375, 201.13704973924905, 217.4497960153967, 227.9709788770415, 230.03340647323057, 246.78164091100916, 256.8651603953913, 300.4034244543873]",395.843509523198,-1,-1,-1.0,-1,-1,-1.0
7,MC_other_title.started,[1.4857789077796042],741.6934897419997,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[16.967774263583124, 33.93252000398934, 56.067662436980754, 73.48374670790508, 98.26751580368727, 125.34969484899193, 141.51664224173874, 155.0169783756137, 177.38308689789847, 192.43251461582258, 212.21619187667966, 226.548157942947, 242.49777981592342, 255.93184632295743, 270.6483301999979, 289.9639312848449]",743.9895482789725,-1,-1,-1.0
9,MC_self_title.started,[1.4830372291617095],1086.9344935510308,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[31.630758102983236, 60.23107494274154, 74.45140786096454, 103.45103013562039, 133.76270673563704, 162.3807823136449, 187.09972680266947, 213.76305590802804, 243.0777599560097, 262.99213919974864, 280.06593136070296, 295.1649834769778]",1088.4387515252456,-1,-1,-1.0,-1,-1,-1.0
11,MM_other_title.started,[1.486557113006711],1428.0959888431244,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[19.496164354961365, 34.162111829034984, 42.11308004707098, 55.179496105760336, 63.79596679285169, 74.67645427491516, 83.6952096587047, 85.87894750898704, 93.462103638798, 95.1122497599572, 100.61226778384298, 113.44563409592956, 119.89375859778374, 131.1278616618365, 146.04435371793807, 154.09422906767577, 157.02790373377502, 158.11252983193845, 162.89384301099926, 187.8940648920834, 189.84309600898996, 212.34409632207826, 221.0602148938924, 222.77728934865445, 235.66015547979623, 246.4929162147455, 253.7100400440395, 276.5430518188514, 293.2089932006784, 300.0092094070278]",1429.8353094710037,-1,-1,-1.0
14,MC_other_title.started,[1.4808315327391028],1794.0297751151957,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.251045347657055, 41.09945918666199, 60.065695266705006, 79.66671831673011, 101.43312420789152, 120.51537606399506, 153.7823278089054, 178.99712231988087, 205.1803519539535, 222.56354933185503, 241.26219728495926, 264.14723759377375, 294.39616740867496]",1795.7596118929796
16,MC_self_title.started,[1.4857667982578278],2147.419815329835,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[20.083699772134423, 44.216799303889275, 70.29996442515403, 91.3001744649373, 121.91502034291625, 150.732912406791, 171.99986097309738, 196.58165057282895, 225.74843172496185, 248.5488086398691, 277.8535096999258]",2148.920572316274,-1,-1,-1.0,-1,-1,-1.0
18,MM_self_title.started,[1.4839554983191192],2489.5818176418543,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[14.766773764975369, 25.135716683696955, 30.289868509862572, 45.00167686212808, 59.606188585050404, 74.00156102795154, 84.8730500517413, 93.22224003076553, 96.72215805575252, 126.21823357278481, 141.07162751071155, 170.80386015074328, 179.6985773127526, 208.3703263150528, 216.84857739694417, 237.1650566738099, 244.78055057674646, 249.40156609471887, 279.5350904739462, 282.6313118878752, 287.800637811888, 290.4137523351237, 297.7803631098941, 304.4014268540777]",2491.082478037104,-1,-1,-1.0,-1,-1,-1.0
20,MM_other_title.started,[1.4858427406288683],2830.210753531195,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[8.650491700973362, 15.101729359012097, 22.46793297212571, 28.18422901071608, 38.800678370986134, 48.65076579991728, 57.40018036495894, 64.90010685194284, 71.25007017981261, 75.18441660795361, 85.06675018882379, 91.78361658006907, 100.45023343199864, 101.34896217985079, 110.41583753516898, 111.95038043987006, 116.91654393589124, 124.66663466580212, 126.48194633796811, 127.71602514293045, 141.79980504093692, 142.66628324612975, 151.93340628780425, 153.25000057090074, 154.89834056189284, 156.38302484480664, 159.28196448180825, 161.0650915717706, 166.8655357528478, 175.21577684115618, 179.46611285675317, 188.19903350481763, 196.23295186506584, 203.88039524387568, 219.21540370583534, 224.5165518480353, 232.0162678528577, 237.26622101012617, 242.49893092690036, 251.96350456494838, 256.44874311983585, 265.96608141297475, 277.03155756695196, 285.3157201097347, 290.9654261851683, 300.2648269571364]",2831.9614289752208
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
