Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,self_btn.keys,self_btn.rt,self_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MC_other_title.started,[1.4897430511191487],409.564279417973,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.65385613264516, 46.9523160145618, 70.50083003286272, 93.36707313777879, 116.20132798654959, 140.78339121956378, 165.7331355479546, 188.01630321890116, 210.94925801362842, 231.68209265591577, 255.18124748766422, 277.23134585889056, 304.46535088075325]",411.3969485173002,-1,-1,-1.0,-1,-1,-1.0
7,MM_self_title.started,[1.504237525165081],812.0919415312819,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[41.33530620485544, 57.05589284328744, 83.98418249608949, 102.16741593927145, 162.4866561400704, 183.9713705489412, 203.81603108812124, 223.53514317423105, 237.74928523786366, 251.7819605190307, 278.5372605891898, 298.2867970960215]",813.6082749720663,-1,-1,-1.0
9,MC_self_title.started,[1.4806948080658913],1152.125313301105,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[33.06366055086255, 63.04610156593844, 92.78388929087669, 123.31671028584242, 152.87908733868971, 170.41135876672342, 193.0609324760735, 211.1480074818246, 235.19872440304607, 253.66541704675183, 272.69244795897976, 303.31024128198624]",1153.6254007001407,-1,-1,-1.0
11,MM_other_title.started,[1.4797797352075577],1519.154063918162,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[44.73619916476309, 71.20157734677196, 85.25279301172122, 111.15014994656667, 145.76675074966624, 152.2999365227297, 156.8001236836426, 203.31667877873406, 234.48271225672215, 269.8985922415741, 286.54866422573105, 296.51553504075855]",1520.8991024871357,-1,-1,-1.0,-1,-1,-1.0
14,MM_other_title.started,[1.4811857342720032],1867.5984320733696,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[39.615311714820564, 55.115297061856836, 67.74748459691182, 81.8142949338071, 156.94630182161927, 174.7306104665622, 188.69682845985517, 221.2447611456737, 238.12955706566572, 262.29576558992267]",1869.3139432342723
16,MC_other_title.started,[1.4805705221369863],2215.660986299161,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.59686721721664, 39.48082539625466, 59.44681044714525, 78.46299475291744, 104.96220910409465, 125.86241614818573, 146.84500185213983, 169.64481726894155, 200.41080862795934, 221.67761358711869, 242.9439716199413, 269.0427898289636, 290.6431642938405]",2217.39434533706
18,MC_self_title.started,[1.4829225102439523],2567.072830718942,-1,-1,-1.0,"['1', '1', '1', '1', '1']","[38.75538817374036, 98.83336700778455, 158.9545156629756, 208.31575500080362, 268.285922347568]",2568.568624016363,-1,-1,-1.0
20,MM_self_title.started,[1.4899903470650315],2974.112588463351,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[59.05068262014538, 80.28875375911593, 105.75111829303205, 115.20504956878722, 162.9836473139003, 172.80431611882523, 199.1161854751408, 220.53730712272227, 238.00415364280343, 263.01487548602745, 291.1356826471165]",2975.6126705640927,-1,-1,-1.0
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
