Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MC_other_title.started,[1.4836812354624271],405.5169274825603,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.91826431825757, 39.19920281227678, 62.483285701833665, 81.95132572948933, 104.34833122603595, 125.64989325404167, 146.69811227545142, 175.6666071685031, 193.44788541272283, 215.36280187778175, 234.9652549950406, 265.2794246254489, 287.0647980161011, 305.0277154510841]",407.4495898419991,-1,-1,-1.0,-1,-1,-1.0
7,MC_self_title.started,[1.4833440566435456],751.661922882311,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[14.252749503590167, 29.146646769717336, 44.05185766145587, 58.99728037510067, 74.01253690198064, 89.19537903927267, 104.00149430707097, 119.09274410363287, 134.07733060698956, 149.0128147220239, 164.04400187544525, 178.91261370666325, 194.0664279051125, 209.06073053460568, 223.89455575775355, 238.9670911571011, 253.94845582731068, 269.2097812658176, 284.22585282474756, 299.365050682798]",753.1658245101571,-1,-1,-1.0
9,MM_self_title.started,[1.4874416319653392],1092.7889881655574,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[18.9518465353176, 54.48494916129857, 61.81819776818156, 94.06866785045713, 131.28599556628615, 157.21702990494668, 197.35563903860748, 214.43460481986403, 227.43996836338192, 245.4371222741902, 281.0000835712999, 290.1465505817905, 302.88289544917643]",1094.2888927925378,-1,-1,-1.0
11,MM_other_title.started,[1.4850400108844042],1435.6843766430393,"['1', '1', '1', '1', '1', '1', '1']","[40.08438180293888, 74.33369459304959, 82.93497491814196, 155.65141155663878, 188.7494347942993, 221.18133723177016, 238.533496260643]",1437.4348358549178,-1,-1,-1.0,-1,-1,-1.0
14,MC_other_title.started,[1.485690481029451],1778.7630832558498,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.851596092805266, 46.83094771299511, 70.63308119680732, 93.03359589260072, 116.28210699278861, 140.56827583909035, 165.31497572734952, 187.81576117128134, 210.23013114836067, 231.4817439345643, 254.13045130297542, 277.1147059435025, 304.9470986863598]",1780.5145967360586
16,MC_self_title.started,[1.4869505390524864],2118.358619359322,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[13.984806512482464, 28.952479887753725, 43.87230770662427, 59.12341614998877, 73.87326112575829, 89.15665161702782, 103.76601238176227, 119.6170757515356, 134.18956020846963, 148.9379191873595, 163.888919910416, 179.0159107511863, 194.0888813007623, 208.9712800309062, 221.0988035602495, 236.1657083230093, 251.30027745198458, 266.019813220948, 280.8331579109654, 296.06340426392853]",2119.8588110618293,-1,-1,-1.0
18,MM_other_title.started,[1.490246775560081],2453.3875844608992,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[110.36702174693346, 126.98361135553569, 151.9689508965239, 234.7323516001925, 256.33383591566235, 269.98399042245, 276.598059611395, 286.93398655671626, 296.68287831079215]",2455.153322356753
20,MM_self_title.started,[1.4910578280687332],2791.9160901727155,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[39.48594342265278, 53.951005599461496, 93.7174176927656, 121.86763208452612, 143.72244198806584, 158.21562699228525, 166.53861996345222, 210.36568406689912, 219.88804196286947, 234.88138554804027, 247.98293583188206, 268.5365597642958, 289.0147527391091, 299.60443894937634]",2793.416398487054,-1,-1,-1.0
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
