Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,self_btn.keys,self_btn.rt,self_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MM_other_title.started,[1.4690364943817258],387.7579730292782,"['1', '1', '1', '1', '1', '1', '1', '1']","[106.19403926841915, 110.61028550099581, 128.2263389704749, 145.47700520418584, 155.74344956409186, 203.8097799755633, 255.09162078239024, 306.490926948376]",389.6767301717773,-1,-1,-1.0,-1,-1,-1.0
7,MC_self_title.started,[1.4906980507075787],743.864436853677,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[35.68182294629514, 75.36716601345688, 110.8992723338306, 144.7206774028018, 179.8869357444346, 214.61495139077306, 243.56988124269992, 276.6790914358571, 306.11360954493284]",745.3657560655847,-1,-1,-1.0
9,MM_self_title.started,[1.4730430338531733],1088.2111556399614,-1,-1,-1.0,"['1', '1', '1', '1']","[82.3832457959652, 122.96674512606114, 206.33340931870043, 245.08603342343122]",1089.6944063883277,-1,-1,-1.0
11,MC_other_title.started,[1.4785341527312994],1423.0771067952735,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.817978526465595, 46.36802639067173, 69.71745334938169, 92.8670994983986, 115.80003107339144, 140.61720557231456, 165.7500723535195, 187.43309235665947, 209.6652175532654, 231.48195411544293, 254.44807988218963, 277.1645541358739, 299.3481062790379]",1424.8228309564292,-1,-1,-1.0,-1,-1,-1.0
14,MC_other_title.started,[1.4721181970089674],1767.551820957102,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.3493591286242, 38.265144258737564, 60.698181826621294, 80.88158387690783, 102.14822470210493, 124.5485314084217, 145.38115724921227, 169.04720534663647, 192.22990762908012, 212.49661406688392, 238.02999671176076, 268.3456366965547, 290.16114141605794]",1769.2705043926835
16,MM_self_title.started,[1.4817545600235462],2104.1838587690145,-1,-1,-1.0,"['1', '1', '1', '1']","[53.05061928462237, 123.73810438252985, 182.08342819660902, 233.52976038958877]",2105.679996694438,-1,-1,-1.0
18,MC_self_title.started,[1.4858792461454868],2444.925115558319,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1']","[26.650997060351074, 59.551662255078554, 99.60029955115169, 136.57198471482843, 174.80000248085707, 208.2039111983031, 247.34897334687412, 280.5472991913557]",2446.4252861477435,-1,-1,-1.0
20,MM_other_title.started,[1.490415825508535],2788.9368952037767,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1']","[40.05037613585591, 59.982611890882254, 83.31661683041602, 110.61751468479633, 189.33255292195827, 231.0306082740426, 278.48123351391405]",2790.687552351505
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
