Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MC_other_title.started,[1.4863408282399178],417.3443006798625,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[21.528396829031408, 44.31121311895549, 65.44400605093688, 86.04418930783868, 108.91063583362848, 129.44330373499542, 149.92625929228961, 178.19305621180683, 196.22567807137966, 217.3906922582537, 239.59002580307424, 290.1913444940001]",419.2686224253848,-1,-1,-1.0,-1,-1,-1.0
7,MM_self_title.started,[1.4852262204512954],776.7067771665752,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[26.48550230357796, 62.433768613263965, 76.11753858625889, 95.15127632487565, 117.18364656437188, 145.22131643723696, 193.7486156532541, 220.6320436038077, 264.68226219154894, 291.23598829004914, 301.72949531301856]",778.2066182121634,-1,-1,-1.0
9,MC_self_title.started,[1.5046519972383976],1140.4020624328405,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.318048351444304, 40.301181115210056, 56.117204025387764, 69.25537289865315, 82.53406562283635, 95.96871281322092, 108.18254346307367, 118.31707694008946, 126.82202264107764, 140.56618509069085, 151.47232814040035, 168.01603873446584, 181.816250173375, 192.9997587967664, 208.1702667037025, 224.5201393160969, 239.63237867318094, 254.4966013757512, 273.83600544184446, 286.06478914339095, 300.91440343111753]",1141.9185800980777,-1,-1,-1.0
11,MM_other_title.started,[1.4896662142127752],1581.229566751048,"['1', '1', '1', '1', '1', '1', '1', '1']","[41.73664703313261, 67.05208541825414, 92.85043088719249, 122.01790717802942, 155.45071790833026, 189.38402357976884, 220.3169842241332, 263.99919536616653]",1582.9786977618933,-1,-1,-1.0,-1,-1,-1.0
14,MM_self_title.started,[1.4911630917340517],1931.724440669641,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[18.12341463007033, 41.489552672952414, 53.6225602729246, 73.56655825581402, 91.19981874711812, 109.61598680634052, 135.80408052075654, 157.2828164640814, 181.03653058595955, 206.06971609033644, 218.00239042937756, 256.5029105003923, 274.35188540257514, 298.3356661647558]",1933.224824322388,-1,-1,-1.0
16,MC_self_title.started,[1.48070271871984],2284.807228804566,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[19.25283445417881, 37.51862324588001, 67.85450268629938, 80.31738343648612, 92.33512860909104, 108.0842600427568, 128.57061069086194, 161.68415096960962, 176.4837142881006, 205.18333837017417, 230.3990646749735]",2286.302164434456,-1,-1,-1.0
18,MC_other_title.started,[1.4853098206222057],2632.0316719962284,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.81945221591741, 58.26695816684514, 84.94928658567369, 111.79834684263915, 155.89865977317095, 188.21463641896844, 235.9799261400476, 256.6799210878089, 278.0461660185829]",2633.7664139075205
20,MM_other_title.started,[1.4793421169742942],2983.3979611033574,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1']","[89.78251117281616, 111.23121544159949, 152.04932613298297, 180.48160058259964, 204.11460114084184, 235.24861931521446, 266.8971477774903, 286.43059221003205]",2985.143806719221
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
