Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MM_other_title.started,[1.4998038858175278],422.2735282140784,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[39.478206078056246, 47.27646793611348, 69.21109975827858, 83.20960624702275, 112.52786213904619, 156.42621624935418, 188.77540047094226, 222.1773764952086, 237.90998138301075]",424.2126063839533,-1,-1,-1.0,-1,-1,-1.0
7,MC_self_title.started,[1.4918717611581087],791.0176871689036,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[30.85178906703368, 63.4668896519579, 90.10511396313086, 121.28644715808332, 136.75030021183193, 159.64946005307138, 216.38685307092965, 252.33656455902383, 275.3362855250016, 302.9191559157334]",792.5184812298976,-1,-1,-1.0
9,MM_self_title.started,[1.4851721273735166],1155.164068303071,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[79.58812658116221, 107.83422870421782, 121.13373142387718, 140.12121640425175, 150.83340697502717, 172.7699592350982, 182.71682760398835, 194.24749316833913, 204.45406673895195, 228.96631955215707, 236.87089685210958, 248.28726538829505, 262.3705444089137, 271.79861060297117, 278.91505299229175, 289.0367871671915, 302.3365278071724]",1156.6636125640944,-1,-1,-1.0
11,MC_other_title.started,[1.483716499991715],1535.6252771820873,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.58385525876656, 39.05173126189038, 62.21831623883918, 94.73317361110821, 116.76698359008878, 136.5983150708489, 163.26461328100413, 192.59941418888047, 208.36470689810812, 254.86438690684736, 273.09828194975853, 301.4644260760397]",1537.3586892848834,-1,-1,-1.0,-1,-1,-1.0
14,MC_self_title.started,[1.4849630608223379],1902.0540300630964,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1']","[30.279878071974963, 64.79549635574222, 84.82910690875724, 99.13341125100851, 115.54531549988315, 165.64523345185444, 211.09371608495712, 240.84316969290376]",1903.5586616522637,-1,-1,-1.0
16,MC_other_title.started,[1.5044935620389879],2258.466425408144,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1']","[22.749889388680458, 47.58246046071872, 74.06541474489495, 142.58175975363702, 167.0485440818593, 256.0466469647363]",2260.2175469598733
18,MM_self_title.started,[1.5002471529878676],2626.377904193941,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[74.42931945482269, 92.91698019579053, 124.64902233192697, 139.51610933803022, 180.56676650885493, 192.77823214512318, 215.09452787786722, 244.67732072714716, 255.59356204187497, 303.4147983449511]",2627.898807439953,-1,-1,-1.0
20,MM_other_title.started,[1.4831113098189235],2977.2442991412245,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[29.33461070479825, 61.15168870566413, 110.40067135868594, 151.78372628008947, 157.49960599979386, 203.53304331982508, 234.71579412790015, 269.11534777795896, 275.88093486987054, 296.74785343091935, 298.4316393057816]",2978.989446709864
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
