Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MC_other_title.started,[1.4842674480751157],475.9904809799045,"['1', '1', '1', '1', '1']","[24.945977702736855, 212.1102491528727, 241.0296391658485, 266.5930522400886, 295.3606841387227]",477.92756550293416,-1,-1,-1.0,-1,-1,-1.0
7,MC_self_title.started,[1.4874118519946933],840.6663817530498,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[29.55890694120899, 57.32090426702052, 83.7856397209689, 108.41765677696094, 132.66659311112016, 154.8237431170419, 177.13397459033877, 199.96689749322832, 221.99124902207404, 248.5340186851099, 271.60491282399744, 290.58837490621954]",842.1665270398371,-1,-1,-1.0
9,MM_self_title.started,[1.4849273641593754],1316.7443227139302,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[98.21894641034305, 111.6353612029925, 129.41777572408319, 140.239471049048, 152.8347993111238, 159.10127955116332, 173.19010868109763, 197.08435242297128, 215.14909928897396, 240.35432028211653, 256.0876619950868, 283.5662345783785, 298.5304406140931]",1318.244449367281,-1,-1,-1.0
11,MM_other_title.started,[1.4863634901121259],1664.1283261468634,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[40.42990755895153, 55.015814813785255, 83.14882410364226, 85.71358431968838, 100.43261678982526, 108.62802731059492, 113.59810212766752, 126.99843774363399, 138.060806682799, 146.31474647670984, 156.39853597199544, 190.3795657530427, 201.59644843963906, 221.57817067485303, 225.4291561776772, 229.8631235146895, 238.42739451304078, 255.34516696399078, 266.8293403838761, 281.10973972361535]",1665.8769104811363,-1,-1,-1.0,-1,-1,-1.0
14,MM_self_title.started,[1.483260271139443],2066.6412074612454,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[41.09059655992314, 54.93456455692649, 63.14997639786452, 74.63366016186774, 95.40638351580128, 115.87272865371779, 168.1993307597004, 181.15386738069355, 199.3219157368876, 214.61636044783518, 226.79718372691423, 236.85010960279033, 260.86444312892854, 271.0201031770557, 287.51569335768, 296.04818713804707]",2068.135004782118,-1,-1,-1.0
16,MC_other_title.started,[1.4873087918385863],2437.3119856738485,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1']","[23.88540419191122, 71.60145550314337, 88.51844597002491, 106.36577188689262, 144.83320475695655, 166.52778683416545, 188.84814507281408, 268.0653599780053]",2439.063457820099
18,MC_self_title.started,[1.4915353530086577],2798.6402660920285,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1']","[30.3523236149922, 60.817530025262386, 98.76740888133645, 139.6185106402263, 165.28861070005223, 215.7340559270233, 229.29725086595863, 262.03344345418736]",2800.1407932718284,-1,-1,-1.0
20,MM_other_title.started,[1.480453362222761],3137.9583399822004,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[24.55024074204266, 45.41463485779241, 53.113461672794074, 65.91482169972733, 96.43049117084593, 110.46569654764608, 126.84826259873807, 140.5051311450079, 148.9646874689497, 175.43106116587296, 191.37939112400636, 198.74767512874678, 210.51263634301722, 223.4295558487065, 234.72858078265563, 257.6113108578138, 267.963475597091, 282.99580911686644]",3139.706195477862
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
