Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,,,
5,MM_self_title.started,[1.4829795419937],524.1988246610272,"['1', '1', '1', '1', '1', '1', '1', '1']","[8.531513586000074, 53.5129823499592, 106.0965935359709, 136.66207191400463, 185.5279375279788, 209.58306826895569, 224.17828111699782, 301.87714090995723]",525.703228878032,-1,-1,-1.0,,,
7,MC_self_title.started,[1.4722436500014737],905.027409389033,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[25.133586273004767, 55.117218956991564, 82.08397347101709, 111.99934312497498, 136.18832602200564, 166.11800493800547, 178.44823813601397, 212.86973953497363, 232.252631085983, 258.5639066749718, 280.85132221499225, 307.3002285530092]",906.5110590719852,-1,-1,-1.0,,,
9,MM_other_title.started,[1.484136559010949],1269.1729708639905,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[11.597011887992267, 18.879547931952402, 34.497800736979116, 44.56371118599782, 54.94641110097291, 63.64584745600587, 75.36293514899444, 85.24701492500026, 108.59630312497029, 127.61280925298342, 138.17865241295658, 153.29639069997938, 182.77911971899448, 204.91155197797343, 241.0612285019597, 251.29494528798386, 268.71037352399435, 277.0929335730034, 287.37767716898816, 298.7601644619717]",1271.476670178003,,,
11,MC_other_title.started,[1.4853073920239694],1634.5002918980315,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[24.68132432101993, 47.41458057600539, 71.0145242009894, 91.19793194899103, 112.94639552099397, 135.38051737600472, 159.32983355299802, 184.07712216797518, 206.3774945429759, 228.19499052502215, 253.6111671620165, 272.478513656999, 297.09499386599055]",1636.23744892003,,,
14,MC_self_title.started,[1.4849112479714677],2001.100997734,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.68426508002449, 55.33461143600289, 79.9893688330194, 116.43867415300338, 146.4718792180065, 174.1149857850396, 203.3654201939935, 257.88109601900214, 292.36286195000866]",2002.5956979049952,-1,-1,-1.0,,,
16,MC_other_title.started,[1.4801476020365953],133.38936995499537,-1,-1,-1.0,-1,,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.118927142990287, 45.11864128697198, 66.01757653802633, 85.48343491001287, 113.66717428498669, 134.03301336901495, 154.21736653597327, 177.93193024699576, 201.16577443201095, 220.88297089998377, 239.723545639019, 266.382157406013, 287.3315649720025]",135.1004703179933
18,MM_other_title.started,[1.4900039820349775],484.0462282390217,-1,-1,-1.0,-1,,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[43.66852462699171, 55.93356656096876, 74.08297764096642, 87.1663599970052, 113.45001162600238, 132.79974412999582, 138.91536722099409, 157.89887140400242, 183.08240629301872, 192.83081586199114, 213.26522282301448, 237.81584139197366, 277.0649157600128]",485.779534352012
20,MM_self_title.started,[1.48889475496253],840.9079124749987,"['1', '1', '1', '1', '1', '1', '1', '1']","[60.4996406470309, 81.45382931199856, 99.68786475399975, 175.11572446103673, 204.76927363703726, 234.88096144102747, 286.39668519899715, 306.3008216750459]",842.4084652840393,-1,,-1.0,-1,-1,-1.0
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,,-1.0,-1,-1,-1.0
