Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MC_other_title.started,[1.4891419289633632],464.6304157758132,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[21.668098341673613, 44.76811091415584, 66.15117810759693, 86.58229759614915, 109.450568087399, 130.21616994030774, 150.91627690009773, 179.03152041416615, 196.78163116890937, 218.24854404386133, 239.93140407837927, 265.33075251895934, 291.48048899136484]",466.6148068038746,-1,-1,-1.0,-1,-1,-1.0
7,MM_other_title.started,[1.467801310122013],837.6471989480779,"['1', '1', '1', '1', '1', '1', '1', '1']","[47.34512485936284, 78.07818950060755, 85.27620138414204, 156.7267786329612, 182.89333495590836, 191.87513556331396, 265.09216577745974, 284.35788783058524]",839.3654861068353,-1,-1,-1.0,-1,-1,-1.0
9,MM_self_title.started,[1.4790599327534437],1237.9084464618936,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1']","[96.05132925789803, 135.82137344870716, 175.5048996694386, 213.06564953364432, 236.15434367209673, 257.9534840192646, 267.66516384482384, 300.69839206244797]",1239.402996931225,-1,-1,-1.0
11,MC_self_title.started,[1.4854609025642276],1656.8149211825803,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[32.113153961487114, 61.6957508251071, 94.66287096962333, 127.37961134687066, 159.91061070468277, 187.9476088564843, 218.49394762609154, 248.87499567959458, 279.1812560847029]",1658.3194299628958,-1,-1,-1.0
14,MM_other_title.started,[1.482920759357512],2048.4432054543868,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[37.001297637820244, 62.05149411968887, 111.79836628213525, 148.45004679821432, 175.91627780161798, 213.71556275896728, 237.66542846523225, 254.31516607198864, 289.91446103993803]",2050.176347590052
16,MC_self_title.started,[1.4855249915271997],2478.67508699093,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[40.77224801015109, 72.1838050680235, 102.17185037583113, 128.4173637116328, 152.86599463876337, 180.0485333316028, 206.78721376974136, 236.70327223744243, 259.1323812212795, 287.6151660969481]",2480.170450030826,-1,-1,-1.0
18,MC_other_title.started,[1.4808399453759193],2858.3866822980344,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[24.902200208976865, 47.13538240548223, 71.76766800507903, 93.91751792095602, 122.96728786174208, 147.28283096291125, 171.39962499774992, 193.9164008134976, 219.78313565719873, 247.29882277920842, 300.02952293958515]",2860.1317292898893
20,MM_self_title.started,[1.4906123047694564],3249.376335904933,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[29.3730364209041, 67.53493344318122, 76.15106529556215, 106.20064014662057, 127.17163519840688, 139.00062065012753, 155.85398379992694, 167.86863093078136, 179.53283037338406, 192.91625760216266, 207.99957076646388, 228.84787516482174, 239.43214123044163, 252.6862188037485, 264.46819228772074, 279.91991550754756, 300.4486699728295]",3250.87628187798,-1,-1,-1.0
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
