Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MM_self_title.started,[1.480838549992768],66.90513442199153,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[7.801047656001174, 30.846745078990352, 53.28363950600033, 67.01348067600338, 116.30045542000153, 144.69975136299036, 162.56639431699296, 178.74480250899796, 200.62732872400375, 230.38155300199287, 247.7933121410024, 262.976360265995, 290.36417275499844]",68.40523082899745,-1,-1,-1.0,-1,-1,-1.0
7,MM_other_title.started,[1.4912496019969694],413.1789771689946,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[13.351035101004527, 39.74928671900125, 75.18332365399692, 82.56662477999635, 85.00065506900137, 112.54953249600658, 155.96408538200194, 188.74844650100567, 200.98051168900565, 221.06363677199988, 222.58146137099538, 238.51347961199644]",415.0963018420007,-1,-1,-1.0
9,MC_self_title.started,[1.4863541950035142],768.8620517789968,"['1', '1', '1', '1', '1', '1', '1', '1']","[42.984619745999225, 85.25502869200136, 121.65542470900982, 161.35481135301234, 196.69977503400878, 228.5497093360027, 254.4159809640114, 285.9461137879989]",770.3574347719987,-1,-1,-1.0,-1,-1,-1.0
11,MC_other_title.started,[1.4794700799975544],1120.4075604489915,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[18.29837344599946, 40.09873484499985, 62.01426690000517, 82.81494283799839, 104.94773626499227, 125.63033154899313, 148.23033008599305, 170.01190113599296, 193.54587510299461, 223.02784493200306, 244.1941374970047, 273.3936587060016, 304.86119263900036]",1122.122798587996,-1,-1,-1.0
14,MM_other_title.started,[1.4849122000014177],1470.1654398190003,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[34.310693424005876, 80.84445905400207, 101.97833266899397, 107.62764277099632, 112.45961033900676, 153.610625204994, 156.55983453200315, 203.7907886759931, 234.54194236799958, 269.908455236, 275.49112140599755, 287.09143225800653, 294.50905993899505]",1471.8877637080004
16,MC_other_title.started,[1.4900697549892357],1811.5932158880023,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.567104496003594, 46.73337540999637, 70.6328277940047, 94.032460404007, 117.08305751500302, 140.64780726599565, 165.6815648759948, 188.74921105800604, 216.84739106999768, 241.430307771996, 264.6981231030077, 292.8308118760033]",1813.327716667991
18,MC_self_title.started,[1.4864827359997435],2174.420966592996,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[40.25065610698948, 74.60596203198656, 102.55034484399948, 132.4501225129934, 164.8822065259883, 197.5039366819983, 226.09892316898913, 254.8357053029904, 288.9188192339934]",2175.921987337992,-1,-1,-1.0,-1,-1,-1.0
20,MM_self_title.started,[1.4845966149878222],2526.3507393129985,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[2.580744954000693, 12.98473725799704, 21.647523859996, 27.49648204499681, 47.700977807995514, 72.38333723999676, 76.04574941699684, 107.0442852069973, 145.29559942299966, 167.34896700699755, 193.32729429900064, 228.28187980799703, 261.19244407099904, 273.1936910349905]",2527.854972232002,-1,-1,-1.0,-1,-1,-1.0
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
